,SHRP_ID,STATE_CODE,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,AADT_ALL_VEHIC,MEPDG_TRANS_CRACK_LENGTH_AC,Mean_IRI,IRI_condition,year,initial_IRI,AADT,crack,construction_time
147,0102,12,2001-07-27,0.6658000114,0.8548000099999999,-1.0,34.34,0.7603000107,2.0,2001,0.8805000126,,34.34,21
164,0102,19,2001-05-29,2.614400053,3.0880000114,-1.0,215.96666666666667,2.8512000322,0.0,2001,0.8805000126,,215.96666666666667,21
165,0102,19,2001-08-06,2.4389999866,2.540199995,-1.0,215.96666666666667,2.4895999908,1.0,2001,0.8805000126,,215.96666666666667,21
176,0102,32,2001-06-19,1.2854000092,1.0544000146,-1.0,40.05,1.1699000119,2.0,2001,0.8805000126,,40.05,21
183,0102,35,2001-05-04,0.975399995,1.0321999908,-1.0,3.844444444444445,1.0037999928999999,2.0,2001,0.8805000126,,3.844444444444445,21
122,0102,1,2002-03-10,1.564199996,1.8509999754,-1.0,26.2,1.7075999857,1.0,2002,0.8805000126,,26.2,20
136,0102,10,2002-04-26,0.8471999884000001,0.931400001,-1.0,-1.0,0.8892999947,2.0,2002,0.8805000126,,,20
137,0102,10,2002-12-07,0.8720000027999999,0.9215999964,-1.0,-1.0,0.8967999996,2.0,2002,0.8805000126,,,20
148,0102,12,2002-10-28,0.6863999961999999,0.8690000057999999,-1.0,34.34,0.7777000009999999,2.0,2002,0.8805000126,,34.34,20
166,0102,19,2002-11-22,2.2918000222,2.6093999862,-1.0,215.96666666666667,2.4506000042,1.0,2002,0.8805000126,,215.96666666666667,20
177,0102,32,2002-06-10,1.0457999708,0.8527999996,-1.0,40.05,0.9492999852,2.0,2002,0.8805000126,,40.05,20
178,0102,32,2002-07-31,1.0682000398,0.8824000120000001,-1.0,40.05,0.9753000259,2.0,2002,0.8805000126,,40.05,20
123,0102,1,2003-01-29,2.1657999516,2.201000047,-1.0,26.2,2.1833999992999997,1.0,2003,0.8805000126,,26.2,19
138,0102,10,2003-08-21,0.8870000006,0.9610000016,-1.0,-1.0,0.9240000011,2.0,2003,0.8805000126,,,19
149,0102,12,2003-07-25,0.8483999967999999,0.7950000048,-1.0,34.34,0.8217000007999999,2.0,2003,0.8805000126,,34.34,19
179,0102,32,2003-10-13,1.2751999856,1.5308000088,-1.0,40.05,1.4029999972,2.0,2003,0.8805000126,,40.05,19
184,0102,35,2003-01-09,1.2688000442,1.2360000132,-1.0,3.844444444444445,1.2524000287,2.0,2003,0.8805000126,,3.844444444444445,19
124,0102,1,2004-04-27,2.640199995,3.2962000368,-1.0,26.2,2.9682000159,0.0,2004,0.8805000126,,26.2,18
139,0102,10,2004-11-08,0.9467999938,1.1167999982,-1.0,-1.0,1.0317999960000002,2.0,2004,0.8805000126,,,18
150,0102,12,2004-04-05,0.696599996,0.9755999922,-1.0,34.34,0.8360999941,2.0,2004,0.8805000126,,34.34,18
167,0102,19,2004-09-22,2.484800005,3.3467999458,-1.0,215.96666666666667,2.9157999753999997,0.0,2004,0.8805000126,,215.96666666666667,18
180,0102,32,2004-04-15,2.1110000134,3.0697999952,-1.0,40.05,2.5904000043,1.0,2004,0.8805000126,,40.05,18
185,0102,35,2004-06-09,1.7411999701999998,1.4631999969999998,-1.0,3.844444444444445,1.6021999835999998,1.0,2004,0.8805000126,,3.844444444444445,18
125,0102,1,2005-05-04,2.9627999786,3.234200001,-1.0,26.2,3.0984999898,0.0,2005,0.8805000126,,26.2,17
140,0102,10,2005-08-17,1.0532000066,1.1140000104,-1.0,-1.0,1.0836000085,2.0,2005,0.8805000126,,,17
151,0102,12,2005-04-26,0.773000002,0.8728000043999999,-1.0,34.34,0.8229000032,2.0,2005,0.8805000126,,34.34,17
186,0102,35,2005-03-11,1.2447999956,1.5315999986,-1.0,3.844444444444445,1.3881999971,2.0,2005,0.8805000126,,3.844444444444445,17
141,0102,10,2006-06-13,1.136800003,1.0822000024,-1.0,-1.0,1.1095000027,2.0,2006,0.8805000126,,,16
152,0102,12,2006-07-26,0.762800014,0.9289999962,-1.0,34.34,0.8459000051,2.0,2006,0.8805000126,,34.34,16
187,0102,35,2006-04-24,1.4834000114,1.4623999834,-1.0,3.844444444444445,1.4728999974,2.0,2006,0.8805000126,,3.844444444444445,16
153,0102,12,2008-09-03,0.7987999913999999,1.0398000120000002,-1.0,34.34,0.9193000017,2.0,2008,0.8805000126,,34.34,14
154,0102,12,2009-05-08,0.8249999882000001,0.9472000002,-1.0,34.34,0.8860999942000001,2.0,2009,0.8805000126,,34.34,13
155,0102,12,2010-02-06,0.8741999981999999,1.0439999938,-1.0,34.34,0.959099996,2.0,2010,0.8805000126,,34.34,12
